구분번호,대통령,글제목,연설일자,원문보기,연설장소
1305404,박정희,[방독]본시민에게 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141100041411013378.PDF,국제
1305503,박정희,전국 교육감회의 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146900041469013436.PDF,국내
1305409,박정희,[방독]박대통령이 베푼 만찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141600041416013383.PDF,국제
1305421,박정희,수협소식지에 실린 신년사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142800041428013395.PDF,국내
1305422,박정희,제6회 근로자의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142900041429013396.PDF,국내
1305371,박정희,신년 시무식에 즈음한 담화문,1964-01-01,,국내
1305474,박정희,제3회 국제음악제치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148100041481013448.PDF,국내
1305475,박정희,제3회 향토문화 공로자 시상식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148200041482013449.PDF,국내
1305420,박정희,"농협신문에 실린, 농민에게 보내는 메시지",1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142700041427013394.PDF,국내
1305441,박정희,제1회 저축의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144800041448013415.PDF,국내
1305479,박정희,석굴암 보수공사 준공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148600041486013453.PDF,국내
1305452,박정희,UN군 자유수호 참전기념비 제막식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145900041459013426.PDF,국내
1305483,박정희,제5회 전국 기독교교육대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149000041490013457.PDF,국내
1305405,박정희,[방독]퀼른시민에게 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141200041412013379.PDF,국제
1305423,박정희,제6회 근로자의 날 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143000041430013397.PDF,국내
1305425,박정희,호남비료 나주공장 인수식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143200041432013399.PDF,국내
1305442,박정희,무역진흥공사 수출센터 국내전시관에 상시 게시할 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144900041449013416.PDF,국내
1305372,박정희,고급공무원에게 보내는 서신,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264137900041379013346.PDF,국내
1305482,박정희,재건국민운동기구의 해제에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148900041489013456.PDF,국내
1305439,박정희,현대건설 단양시멘트공장 시업식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144600041446013413.PDF,국내
1305484,박정희,소년선도 및 보호의 달에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149100041491013458.PDF,국내
1305491,박정희,대한의학협회 제16차 학술대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149800041498013465.PDF,국내
1305492,박정희,경기도청사 신축 기공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149900041499013466.PDF,국내
1305485,박정희,재건국민운동 중앙회 발회식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149200041492013459.PDF,국내
1305496,박정희,고 함대영선생 장례식 조사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150300041503013470.PDF,국내
1305410,박정희,[방독]베스트팔렌주지사가 베푼 오찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141700041417013384.PDF,국제
1305379,박정희,한·일회담에 관한 특별담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138600041386013353.PDF,국내
1305380,박정희,맥아더장군 서거에 대한 추도담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138700041387013354.PDF,국내
1305501,박정희,자유센터 개관기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150800041508013475.PDF,국내
1305440,박정희,일반농지의 소유권이전등기등에 관한 특별조치법 시행에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144700041447013414.PDF,국내
1305387,박정희,제3회 지방장관회의 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139400041394013361.PDF,국내
1305418,박정희,방독소감,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142500041425013392.PDF,국내
1305419,박정희,민주공화당 2년차 전당대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142600041426013393.PDF,국내
1305498,박정희,제15회 개천예술제치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150500041505013472.PDF,국내
