구분번호,대통령,글제목,연설일자,원문보기,연설장소
1310518,이승만,"선거는 UN 감시로, 북한 제안에 대하여 ",1949-07-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005300040053012020.PDF,국내
1310519,이승만,바귀오 회담에 대하여 ,1949-07-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005400040054012021.PDF,국내
1310520,이승만,명예박사 학위수여식에 임하여 ,1949-07-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005500040055012022.PDF,국내
1310521,이승만,장(蔣) 총통의 방한은 단결을 증명 ,1949-07-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005600040056012023.PDF,국내
1310522,이승만,"만민공락(萬民共樂)의 국초(國礎)를 전정(奠定),",1949-07-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005700040057012024.PDF,국내
1310523,이승만,우방과 함께 부강 전진하자 ,1949-08-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005800040058012025.PDF,국내
1310524,이승만,장개석 총통의 방한을 환영함 ,1949-08-08,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005900040059012026.PDF,국내
1310525,이승만,쇄국주의를 배제함 ,1949-08-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006000040060012027.PDF,국내
1310526,이승만,고(故) 헐벝박사 ,1949-08-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006100040061012028.PDF,국내
1310527,이승만,태평양동맹에 대하여 ,1949-08-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006200040062012029.PDF,국내
1310528,이승만,정부수립 일주년 기념사 ,1949-08-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006300040063012030.PDF,국내
1310529,이승만,다시 한번 경성(警醒)하라 ,1949-08-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006400040064012031.PDF,국내
1310530,이승만,해군 관함식을 보고 ,1949-08-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006500040065012032.PDF,국내
1310531,이승만,상권 확장에 능력 발휘를 요망 ,1949-09-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006600040066012033.PDF,국내
1310532,이승만,귀속재산을 급속 처리할 수 있게 하라 ,1949-09-18,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006700040067012034.PDF,국내
1310533,이승만,한일 협상에 대하여,1949-09-20,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006800040068012035.PDF,국내
1310534,이승만,대한 적십자사 지방대회에 전하는 훈사 ,1949-09-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264006900040069012036.PDF,국내
1310535,이승만,홍삼(紅蔘) 발매권에 대하여 ,1949-09-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264007000040070012037.PDF,국내
1310536,이승만,토탄을 사용하라 ,1949-09-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264007100040071012038.PDF,국내
1310537,이승만,"공산당과 협의 불가, 인권보증에 결사투쟁 ",1949-10-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264007200040072012039.PDF,국내
1310538,이승만,한글사용에 관하여 ,1949-10-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264007300040073012040.PDF,국내
1310539,이승만,대한 적십자사 재조직 중앙대회에 전하는 훈사 ,1949-10-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264007400040074012041.PDF,국내
